<phenotype>								
taxa	data	data	data	data	data	data	data	data
Taxa	PH	EH	SHL	ASI	LAZY	KRN	KWT	albino
1929-18	173.33	94.17	12.28	-0.75	0	10.08	2.83	0
1929-21	228.75	143.75	24.98	0.75	0	9.58	3.67	0
1930-1	172.5	96.25	17.36	-1	0	12.58	3.36	0
1930-2	181.67	97.5	14.39	-1.5	0	15.17	4.61	0
1930-3	197.22	91.67	16.09	-0.33	0	12.44	3.4	0
1930-5	170	73.75	13.55	-0.5	0	9.5	4.07	0
411-16	211.66	119.44	14.82	0.33	0	13.11	3.7	0
1930-9	172.92	91.25	15.66	-0.5	0	10.33	3.03	0
1930-10	213.75	119.17	12.7	1	0	10.89	3.4	0
1930-12	192.08	94.58	15.24	-1	0	15.08	3.93	0
1930-14	214.58	124.58	16.93	-0.25	0	11.25	4.2	0
1930-15	198.89	108.89	16.93	0	0	11	3.67	0
1930-16	194.17	110.83	13.12	-1	0	12.58	4.6	0
1930-20	190.83	113.75	14.39	-0.75	0	8.67	3.82	0
1930-24	173.89	115.55	13.12	0	0	7.78	3.03	0
1931-1	198.89	130	15.41	-0.33	0	8	3.57	0
1931-7	191.25	117.08	12.28	0	0	9	3.09	0
1931-9	193.33	105.42	15.66	-0.75	0	9.67	2.96	0
1931-15	218.75	124.17	19.9	-0.75	0	15.5	5.02	0
372-3	196.25	109.58	14.82	0.25	0	14.5	3.31	0
1931-18	182.78	90.55	16.51	-0.67	0	16.22	4.16	0
1931-19	214.17	108.33	19.47	0.75	0	11.08	5.52	0
1931-20	218.89	115	18.2	-0.33	0	11.33	3.58	0
1931-21	214.58	126.67	19.05	-0.75	0	11.33	3.6	0
1932-2	215.83	104.17	19.05	-0.5	0	12.83	4.23	0
1932-7	186.25	101.25	17.78	-1	0	10.63	3.47	0
1932-11	204.17	107.5	17.78	-0.75	0	11.92	3.66	0
1932-13	191.11	110	16.51	0	0	10.67	3.65	0
1932-14	198.75	112.92	16.93	0	0	12.67	3.38	0
413-5	217.08	115.83	18.63	-0.5	0	11.33	3.96	0
1932-23	209.17	126.67	14.82	0.33	0	9.78	3.75	0
1933-1	202.5	105.42	24.13	-0.25	0	11.33	4.01	0
1933-3	179.17	103.75	10.58	-0.25	0	11.25	4.16	0
1933-4	192.08	102.92	19.47	0	0	14.58	3.95	0
1933-7	204.17	120.42	16.93	0.75	0	12.5	3.52	0
1933-8	202.09	120	15.66	-1.25	0	12.33	3.51	0
1933-9	192.08	122.08	12.28	-0.25	0	10.5	3.43	0
1933-11	198.75	118.33	13.97	-0.67	0	14	3.53	0
1933-12	223.33	126.11	17.36	-1.33	0	13.11	3.64	0
1933-13	215.55	118.33	17.78	0.67	0	11.78	3.8	0
1933-14	219.17	116.67	17.36	-1.5	0	13.83	5.23	0
1933-15	210.42	122.08	20.32	-1.25	0	13.5	3.91	0
1933-16	228.54	126.04	17.78	-1.25	0	15.33	3.81	0
1933-18	207.08	117.92	11.85	-0.5	0	12.33	3.43	0
411-17	188.06	98.61	25.4	-1.33	0	12.11	3.65	0
1934-1	182.92	94.58	12.28	-1	0	11.67	3.52	0
1934-4	185.83	88.75	13.55	-0.25	0	11.67	3.75	0
1934-5	187.92	97.09	16.93	-1.5	0	11.83	3.7	0
1934-6	209.44	121.11	16.09	-0.67	0	12	4.44	0
1934-7	226.67	123.33	24.55	-0.33	0	11.67	3.88	0
1934-9	213.75	128.33	15.66	-0.5	0	11.5	3.64	0
1934-13	190.83	107.92	16.09	-0.75	0	13	3.98	0
1934-14	217.92	124.58	19.47	-1	0	9.92	3.37	0
1934-16	199.58	106.66	20.32	-0.5	0	12.67	3.75	0
1934-17	200.83	108.33	24.13	-1	0	8.33	3.72	0
1934-19	222.22	131.67	17.36	-0.5	0	10.17	4.13	0
1934-20	221.11	129.45	27.94	-2	0	10.22	4.15	0
1935-3	197.5	92.92	21.59	-0.25	0	12.67	4.88	0
1935-5	197.5	98.75	14.82	0	0	10.67	3.85	0
1935-6	231.67	143.34	14.39	-1	0	12	3.96	0
1935-8	188.75	83.75	10.16	-0.25	0	12	4.6	0
1935-9	194.17	107.5	14.82	-1.75	0	12.67	3.85	0
1935-13	202.5	102.08	17.36	-1.25	0	12.75	3.67	0
1935-14	208.75	117.5	13.12	-2.25	0	12.58	5.19	0
1935-15	192.5	110	14.82	1	NaN	12.33	2.86	NaN
1935-17	210.42	135.83	18.63	-0.33	0	10.92	3.99	0
1936-1	217.5	134.58	14.82	-1	0	11.25	3.7	0
1936-4	174.16	93.75	16.51	-0.75	0	12.67	3.44	0
1936-7	212.22	114.44	13.12	-0.67	0	11.78	3.42	0
411-19	159.17	84.58	16.09	-2.25	0	10.33	3.38	0
1936-10	223.75	128.33	16.09	-0.5	0	11	3.92	0
1936-14	189.58	97.5	16.09	-1.25	0	12.58	5.74	0
